#keggName_to_taxonName	Bacteroidaceae bacterium HV4-6-C5C	Prevotella paludivivens	Acetobacter aceti	Pseudoclavibacter soli	Lactobacillus fuchuensis	Lactobacillus sakei	Clostridium kluyveri	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	uncultured Clostridiales bacterium	Faecalicatena fissicatena	Hespellia stercorisuis	Oscillibacter sp. CAG:155	Oscillibacter ruminantium	Oscillibacter valericigenes	Oscillibacter sp. 1-3	Oscillibacter sp. 57_20	Oscillibacter sp. PC13	Desulfitobacterium hafniense	Caproiciproducens galactitolivorans	Caproiciproducens sp. NJN-50	Marasmitruncus massiliensis	Papillibacter cinnamivorans	Pseudoflavonifractor capillosus	Pseudoflavonifractor sp. Marseille-P3106	Pygmaiobacter massiliensis	Sporobacter termitidis	Ruminococcaceae bacterium HV4-5-B5C	Intestinimonas butyriciproducens	Clostridiales bacterium	Firmicutes bacterium CAG:129	Firmicutes bacterium HGW-Firmicutes-16	Methanobacterium paludis
Not assigned	132626	126700	12206	217902	49582	16976	90889	63956	28941	105185	24474	72111	21950	80759	377943	585151	53589	18627	108730	63304	37934	42241	43443	27926	833	79179	29077	14738	28237	9727	385026	18925	31129	14142
K00001 alcohol dehydrogenase [EC:1.1.1.1]	0	0	0	0	0	59	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00003 homoserine dehydrogenase [EC:1.1.1.3]	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	452	0	0	0	0	0	7	0	0	0	0	0	0	0	3	1	0	0	42
K00005 glycerol dehydrogenase [EC:1.1.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	5	0	0	0	0
K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00013 histidinol dehydrogenase [EC:1.1.1.23]	0	0	0	0	0	0	52	1	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7
K00014 shikimate dehydrogenase [EC:1.1.1.25]	0	0	0	0	0	21	160	0	0	0	0	0	0	0	0	22	0	0	0	0	0	55	0	0	0	0	0	0	0	1	0	0	0	7
K00016 L-lactate dehydrogenase [EC:1.1.1.27]	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
K00018 glycerate dehydrogenase [EC:1.1.1.29]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0
K00020 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00021 hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
K00024 malate dehydrogenase [EC:1.1.1.37]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
K00027 malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	30	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	52
K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00031 isocitrate dehydrogenase [EC:1.1.1.42]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0
K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0	0	0	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00040 fructuronate reductase [EC:1.1.1.57]	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0
K00046 gluconate 5-dehydrogenase [EC:1.1.1.69]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
K00052 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	91	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	90
K00053 ketol-acid reductoisomerase [EC:1.1.1.86]	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
K00054 hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00055 aryl-alcohol dehydrogenase [EC:1.1.1.90]	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00057 glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	0	0	0	0	0	10	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	19	0	0	0	0
K00058 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0	0	0	0	0	49	147	0	0	0	0	0	0	0	0	2307	0	0	0	0	0	327	0	0	0	0	0	0	0	18	0	0	0	24
K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
