#keggName_to_taxonName	Bacteroides fragilis	Bacteroides intestinalis	Bacteroides reticulotermitis	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Desulfovibrio legallii	Pseudoclavibacter soli	Lactobacillus curvatus	Lactobacillus fuchuensis	Lactobacillus sakei	Leuconostoc gelidum	Clostridium amylolyticum	Clostridium kluyveri	Clostridium sp. JN-9	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. PI-S10-A1B	Clostridium sp. W14A	uncultured Clostridiales bacterium	Oscillibacter ruminantium	Oscillibacter valericigenes	Oscillibacter sp. PC13	Caproiciproducens sp. NJN-50	Pseudoflavonifractor sp. Marseille-P3106	Ruminococcaceae bacterium HV4-5-B5C	Intestinimonas butyriciproducens	Clostridiales bacterium	Firmicutes bacterium CAG:83	Methanobacterium congolense	Methanobacterium paludis
Not assigned	21264	19170	33885	2849870	22457	634811	78696	350143	14213	226973	98404	19660	93110	376930	18015	68002	77789	20488	143076	23057	74971	189242	15502	24530	33361	157195	13811	616237	27093	11375	37904
K00001 alcohol dehydrogenase [EC:1.1.1.1]	0	0	0	0	0	0	0	0	0	0	337	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
K00003 homoserine dehydrogenase [EC:1.1.1.3]	0	0	0	0	0	0	0	19	0	0	0	8	0	369	0	0	2	0	4	0	1	51	3	2	0	2	15	10	0	4	96
K00004 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00005 glycerol dehydrogenase [EC:1.1.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22	0	0	26	0	0	0	0
K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19	0	0	0	1	0	0	0
K00009 mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22]	3	0	0	25	0	0	4	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00013 histidinol dehydrogenase [EC:1.1.1.23]	0	0	0	9	0	0	0	11	0	0	0	34	0	316	0	0	1	0	1	0	7	60	0	8	0	4	8	0	0	2	38
K00014 shikimate dehydrogenase [EC:1.1.1.25]	0	0	0	19	0	0	0	0	14	0	251	27	0	710	0	0	0	0	1	0	0	5	0	34	0	0	29	0	0	4	35
