#keggName_to_taxonName	Bacteroides reticulotermitis	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Desulfovibrio legallii	Pseudoclavibacter soli	Acidipropionibacterium jensenii	Lactobacillus brevis	Lactobacillus paracasei	Lactobacillus curvatus	Lactobacillus fuchuensis	Lactobacillus sakei	Clostridium kluyveri	Clostridium luticellarii	Clostridium tyrobutyricum	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	Faecalicatena fissicatena	Oscillibacter sp. CAG:155	Oscillibacter ruminantium	Oscillibacter valericigenes	Oscillibacter sp. 1-3	Oscillibacter sp. PC13	Desulfitobacterium hafniense	Caproiciproducens galactitolivorans	Caproiciproducens sp. NJN-50	Marasmitruncus massiliensis	Pseudoflavonifractor sp. Marseille-P3106	Ruminococcaceae bacterium HV4-5-B5C	Clostridiales bacterium	Methanobacterium congolense	Methanobacterium paludis
Not assigned	35555	543795	49370	1039318	54764	173235	19591	88912	29618	29937	850962	84878	283486	163776	19104	389009	49143	105285	27351	37451	182103	304628	24528	47961	26274	23715	35161	21231	60262	72497	253919	15983	55047
K00001 alcohol dehydrogenase [EC:1.1.1.1]	0	0	0	0	0	0	0	60	0	0	0	355	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00003 homoserine dehydrogenase [EC:1.1.1.3]	0	0	0	0	1	0	18	0	0	0	0	0	306	0	0	0	0	0	0	0	0	178	0	0	0	0	10	0	0	0	0	20	177
K00005 glycerol dehydrogenase [EC:1.1.1.6]	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0
K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
K00009 mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	0	0	0	0	0	0	0	0	39	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00010 myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0	0	0	0	0	0	24	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00013 histidinol dehydrogenase [EC:1.1.1.23]	0	0	0	0	0	0	15	0	0	0	0	0	196	0	0	8	0	0	0	0	0	148	0	0	0	0	6	0	0	0	0	1	31
K00014 shikimate dehydrogenase [EC:1.1.1.25]	0	0	0	0	0	0	27	0	17	8	0	193	540	0	8	0	0	0	0	0	0	15	0	0	0	0	93	0	0	0	0	3	33
K00015 glyoxylate reductase [EC:1.1.1.26]	0	0	0	0	0	0	25	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00016 L-lactate dehydrogenase [EC:1.1.1.27]	0	0	0	0	0	0	53	13	0	0	0	4	0	0	0	0	0	0	0	0	0	37	0	0	0	0	16	0	0	0	0	0	0
K00018 glycerate dehydrogenase [EC:1.1.1.29]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
K00020 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0	0	0	0	3	0	0	0	0	1	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00021 hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
K00024 malate dehydrogenase [EC:1.1.1.37]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	116
K00027 malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	0	0	0	0	0	0	61	0	0	0	0	0	345	0	0	0	0	0	0	0	0	40	0	0	0	0	32	0	0	0	0	0	199
K00031 isocitrate dehydrogenase [EC:1.1.1.42]	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	12	0	0	0	0	0	0
K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0	0	0	0	0	2	3	84	0	16	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0	0	0	0	0	0	9	1	0	2	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00038 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00040 fructuronate reductase [EC:1.1.1.57]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0
K00046 gluconate 5-dehydrogenase [EC:1.1.1.69]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K00052 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	0	0	0	0	0	0	6	0	0	0	0	0	196	0	0	0	0	0	0	0	0	115	0	0	0	0	7	0	0	0	0	0	287
K00053 ketol-acid reductoisomerase [EC:1.1.1.86]	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
K00054 hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	0	0	0	0	0	0	0	208	0	33	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00055 aryl-alcohol dehydrogenase [EC:1.1.1.90]	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00057 glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	0	0	0	0	0	0	16	21	0	11	1	40	288	0	7	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
K00058 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0	0	0	0	0	0	9	0	0	0	0	0	439	3	1	0	0	0	0	0	0	1118	0	0	0	0	248	0	0	0	0	5	90
K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0	0	0	0	0	0	3	161	14	32	0	243	0	0	0	0	0	0	0	0	0	89	0	0	0	0	44	0	0	0	0	0	0
K00060 threonine 3-dehydrogenase [EC:1.1.1.103]	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00065 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0	0	0	0	0	0	0	200	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
K00067 dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	319
K00068 sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00074 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	0	0	0	0	0	0	0	11	0	0	0	0	754	0	0	0	0	0	0	0	0	147	0	0	0	0	11	0	0	0	0	0	0
K00075 UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	0	0	0	0	0	0	13	0	2	7	0	115	548	1	7	0	0	0	0	0	0	74	0	0	0	0	3	0	0	0	0	0	0
K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169]	0	0	0	0	0	0	38	229	0	5	0	119	128	0	0	0	0	0	0	0	0	34	0	0	0	0	10	0	0	0	0	0	0
K00086 1,3-propanediol dehydrogenase [EC:1.1.1.202]	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00087 xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0
K00088 IMP dehydrogenase [EC:1.1.1.205]	0	0	0	0	6	2	20	21	0	0	9	4	213	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	2	108
K00091 dihydroflavonol-4-reductase [EC:1.1.1.219]	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00096 glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
K00099 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	0	0	0	0	0	0	7	0	0	0	0	0	395	0	70	1	0	2	0	0	0	42	0	0	0	0	15	0	0	0	0	0	0
K00104 glycolate oxidase [EC:1.1.3.15]	0	0	0	0	0	0	27	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0
K00105 alpha-glycerophosphate oxidase [EC:1.1.3.21]	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00111 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	0	0	0	0	0	0	2	0	0	0	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0
K00112 glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00123 formate dehydrogenase major subunit [EC:1.17.1.9]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0
K00133 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	0	0	0	0	0	0	14	0	6	0	0	0	177	0	0	1	0	0	0	0	0	4	0	0	1	0	9	0	0	0	0	0	160
K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	0	0	0	0	0	3	6	0	0	0	1	0	287	1	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
K00135 succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	0	0	0	0	0	0	17	93	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00140 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	0	0	0	0	0	0	14	0	0	0	0	0	290	5	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	14	121
K00147 glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	0	0	0	0	0	0	14	0	0	0	0	0	332	0	0	0	0	0	0	0	0	131	0	0	0	0	13	0	0	0	0	0	0
K00150 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150
K00156 pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00158 pyruvate oxidase [EC:1.2.3.3]	0	0	0	0	0	0	0	0	0	8	1	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	62
K00161 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	0	0	0	0	0	0	35	28	0	0	0	27	0	0	0	0	0	0	0	0	1	584	0	0	0	0	0	0	0	0	0	0	0
