#keggName_to_taxonName	Bacteroides reticulotermitis	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Acetobacter cibinongensis	Acetobacter fabarum	Acetobacter nitrogenifigens	Acetobacter oeni	Acetobacter okinawensis	Acetobacter orientalis	Acetobacter papayae	Acetobacter pasteurianus	Acetobacter peroxydans	Acetobacter persici	Acetobacter senegalensis	Acetobacter aceti	Acetobacter tropicalis	Acidomonas methanolica	Gluconacetobacter diazotrophicus	Gluconacetobacter liquefaciens	Neoasaia chiangmaiensis	Azospira oryzae	Azospira sp. I13	Desulfovibrio alcoholivorans	Desulfovibrio legallii	Pseudoclavibacter soli	Lactobacillus fuchuensis	Lactobacillus sakei	Clostridium amylolyticum	Clostridium kluyveri	Oscillibacter ruminantium	Oscillibacter valericigenes	Desulfitobacterium metallireducens	Ruminococcaceae bacterium HV4-5-B5C	Clostridiales bacterium	Clostridiales bacterium oral taxon 876
Not assigned	20748	203766	20718	101682	10722	9149	29387	45929	14080	13711	17832	11210	9265	16947	15259	50077	7083	9071	10414	20090	7933	4562	18334	22943	21704	146923	33737	12420	282306	25598	14087	31338	30185	33425	172801	13318
K00001 alcohol dehydrogenase [EC:1.1.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0
K00003 homoserine dehydrogenase [EC:1.1.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	34	0	0	0	0	0	0	0	0	0	0	23	0	6	57	0	0	0
K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00013 histidinol dehydrogenase [EC:1.1.1.23]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	8	0	0	0	0	0	0	0	14	0	5	78	0	0	0
K00014 shikimate dehydrogenase [EC:1.1.1.25]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	42	0	1	76	0	0	0
K00018 glycerate dehydrogenase [EC:1.1.1.29]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
K00020 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	57	0	0	0
K00027 malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	79	0	0	0
K00029 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00031 isocitrate dehydrogenase [EC:1.1.1.42]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	4	0	12	0	0	0	0	0	0	0	0
K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
K00040 fructuronate reductase [EC:1.1.1.57]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00052 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	48	0	0	0
K00053 ketol-acid reductoisomerase [EC:1.1.1.86]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	55	0	0	57	0	0	0
K00054 hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
