#keggName_to_taxonName	Bacteroides reticulotermitis	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Acetobacter nitrogenifigens	Acetobacter oeni	Acetobacter okinawensis	Acetobacter orientalis	Acetobacter papayae	Acetobacter persici	Acetobacter aceti	Gluconacetobacter diazotrophicus	Gluconacetobacter liquefaciens	Neoasaia chiangmaiensis	Desulfovibrio alcoholivorans	Pseudoclavibacter soli	Acidipropionibacterium jensenii	Lactobacillus brevis	Lactobacillus fuchuensis	Lactobacillus sakei	Leuconostoc gelidum	Clostridium amylolyticum	Clostridium carboxidivorans	Clostridium drakei	Clostridium kluyveri	Clostridium scatologenes	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	Oscillibacter ruminantium	Oscillibacter valericigenes	Caproiciproducens sp. NJN-50	Pseudoflavonifractor sp. Marseille-P3106	Ruminococcaceae bacterium HV4-5-B5C	Clostridiales bacterium	Clostridiales bacterium oral taxon 876	Methanobacterium paludis
Not assigned	21458	237206	20238	247303	28454	48063	12991	13556	16414	16815	51778	9685	20263	7875	14276	321021	6794	9778	80495	35513	7304	101144	46159	64259	169784	53888	44087	25911	20926	24107	63781	8867	31589	40746	175341	15763	15198
K00001 alcohol dehydrogenase [EC:1.1.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	122	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
K00003 homoserine dehydrogenase [EC:1.1.1.3]	0	0	0	0	0	0	0	0	0	0	0	43	0	1	0	0	2	0	0	0	8	0	1	0	142	68	0	0	0	0	24	10	0	0	0	0	66
K00004 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00005 glycerol dehydrogenase [EC:1.1.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	313	0	0	0	0	0	0	0	5	0	0	0	0	0
K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
K00010 myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00013 histidinol dehydrogenase [EC:1.1.1.23]	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	9	0	0	0	7	0	4	13	100	0	0	0	0	0	14	0	0	0	0	0	15
K00014 shikimate dehydrogenase [EC:1.1.1.25]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	47	7	0	0	0	297	2	0	0	0	0	5	22	0	0	0	0	12
