#keggName_to_taxonName	Bacteroides fragilis	Bacteroides graminisolvens	Bacteroides ihuae	Bacteroides intestinalis	Bacteroides luti	Bacteroides reticulotermitis	Bacteroidaceae bacterium HV4-6-C5C	Dysgonomonas sp. BGC7	Prevotella oryzae	Prevotella paludivivens	Desulfovibrio legallii	Desulfovibrio sp. AM18-2	Actinomyces provencensis	Pseudoclavibacter soli	Lactobacillus paracasei	Lactobacillus fuchuensis	Lactobacillus sakei	Leuconostoc gelidum	Clostridium amylolyticum	Clostridium carboxidivorans	Clostridium drakei	Clostridium kluyveri	Clostridium luticellarii	Clostridium scatologenes	Clostridium tyrobutyricum	Clostridium sp. JN-9	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	Oscillibacter ruminantium	Oscillibacter valericigenes	Desulfitobacterium metallireducens	Caproiciproducens galactitolivorans	Caproiciproducens sp. NJN-50	Ruminococcaceae bacterium HV4-5-B5C	Clostridiales bacterium
Not assigned	15392	17089	16532	22814	17816	36342	1748530	20323	20411	684715	222287	17143	16915	111994	23473	334446	153206	16097	75334	10856	10945	825047	16977	10655	13910	16555	55915	46861	40489	16265	55223	5828	25594	12869	351204	271793
K00001 alcohol dehydrogenase [EC:1.1.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	777	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00003 homoserine dehydrogenase [EC:1.1.1.3]	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0	819	0	5	0	0	0	0	0	0	1	11	0	6	0	0
K00004 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00005 glycerol dehydrogenase [EC:1.1.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
K00009 mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22]	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00013 histidinol dehydrogenase [EC:1.1.1.23]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	3	492	0	0	0	0	0	0	0	0	3	13	0	1	0	0
K00014 shikimate dehydrogenase [EC:1.1.1.25]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	449	25	0	0	0	1527	0	0	7	0	0	0	0	0	0	7	0	25	0	0
