#keggName_to_taxonName	Bacteroides fragilis	Bacteroides graminisolvens	Bacteroides ihuae	Bacteroides luti	Bacteroides pyogenes	Bacteroides reticulotermitis	Bacteroides sp. KCTC 15687	Bacteroidaceae bacterium HV4-6-C5C	Prevotella oryzae	Prevotella paludivivens	Desulfovibrio legallii	Pseudoclavibacter soli	Lactobacillus paracasei	Lactobacillus fuchuensis	Lactobacillus sakei	Leuconostoc gelidum	Clostridium amylolyticum	Clostridium kluyveri	Clostridium luticellarii	Clostridium sp. JN500901	Clostridium sp. KNHs216	Clostridium sp. W14A	uncultured Clostridiales bacterium	Anaerotignum propionicum	Oscillibacter ruminantium	Oscillibacter valericigenes	Caproiciproducens galactitolivorans	Caproiciproducens sp. NJN-50	Pseudoflavonifractor sp. Marseille-P3106	Ruminococcaceae bacterium D5	Ruminococcaceae bacterium HV4-5-B5C	Intestinimonas butyriciproducens	Intestinimonas timonensis	Clostridiales bacterium	Methanobacterium paludis
Not assigned	20928	15336	27927	23983	13548	54709	13770	498111	85784	866573	154221	40684	28741	86049	31664	10804	19223	109222	15671	145480	23348	27493	21737	25456	16386	39859	16998	10154	19507	32070	60782	14813	13465	179416	10701
K00001 alcohol dehydrogenase [EC:1.1.1.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00003 homoserine dehydrogenase [EC:1.1.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	96	0	0	0	0	0	21	0	7	0	0	0	0	0	19	0	0	21
K00004 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00005 glycerol dehydrogenase [EC:1.1.1.6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	5	0	0	0	30	0	0	0
K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
K00009 mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00013 histidinol dehydrogenase [EC:1.1.1.23]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	97	0	2	0	0	0	31	0	4	0	0	0	0	0	12	0	0	3
K00014 shikimate dehydrogenase [EC:1.1.1.25]	2	0	0	0	0	0	0	0	0	0	0	0	10	0	59	30	0	228	0	0	0	0	0	42	0	2	0	7	0	0	0	18	0	0	3
K00016 L-lactate dehydrogenase [EC:1.1.1.27]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	29	0	0	0	15	0	0	0	0	0	0	0
K00018 glycerate dehydrogenase [EC:1.1.1.29]	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K00020 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0	0	0	0	0	0	0	0	0	0	1	0	0	0	40	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00021 hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
K00024 malate dehydrogenase [EC:1.1.1.37]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
K00027 malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	135	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	46
K00031 isocitrate dehydrogenase [EC:1.1.1.42]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	15	0	0	0
K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0	0	0	0	0	0	0	0	0	0	0	2	0	0	27	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00040 fructuronate reductase [EC:1.1.1.57]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	8	0	0	0	0	0	0	0
K00046 gluconate 5-dehydrogenase [EC:1.1.1.69]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
K00052 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	98	0	0	0	0	0	11	0	2	0	2	0	0	0	0	0	0	46
K00053 ketol-acid reductoisomerase [EC:1.1.1.86]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	6
K00054 hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00057 glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	21	0	94	0	0	0	0	0	20	0	0	0	2	0	0	0	93	0	0	0
K00058 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	16	0	0	0	0	0	0	0	0	0	0	0	0	0	61	70	0	165	5	0	0	0	0	40	0	26	0	13	0	0	0	51	0	0	14
K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0	0	0	0	0	0	0	0	0	0	0	0	9	0	97	13	0	0	0	0	0	0	0	41	0	17	0	2	0	0	0	8	0	0	0
K00060 threonine 3-dehydrogenase [EC:1.1.1.103]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
K00065 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00067 dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	86
K00068 sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00074 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	44	0	4	0	0	0	8	0	0	0
K00075 UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	22	0	175	0	0	0	0	0	31	0	7	0	4	0	0	0	24	0	0	0
K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	44	19	0	60	0	0	0	0	0	69	0	4	0	3	0	0	0	0	0	0	0
K00086 1,3-propanediol dehydrogenase [EC:1.1.1.202]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00087 xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	204	0	0	0
K00088 IMP dehydrogenase [EC:1.1.1.205]	2	0	0	0	0	0	0	0	0	0	28	0	0	3	0	21	0	72	0	0	0	0	0	7	0	0	0	0	0	0	0	10	0	0	16
K00091 dihydroflavonol-4-reductase [EC:1.1.1.219]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00096 glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
K00099 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	13	0	6	0	3	0	0	0	5	0	0	0
K00104 glycolate oxidase [EC:1.1.3.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	10	0	0	0	293	0	0	0
K00111 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	81	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
K00133 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	0	0	0	0	0	0	0	0	0	0	15	0	6	0	0	13	0	66	0	0	0	0	0	2	0	0	0	2	0	0	0	3	0	0	34
K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	11	0	101	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0
K00135 succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	107	0	0	0	0	0	13	0	0	0	1	0	0	0	49	0	0	28
K00147 glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	27	0	125	0	0	0	0	0	17	0	4	0	4	0	0	0	0	0	0	0
